                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                0.45955,                0.40284,                0.96346,                  0.755,                0.41772,                0.43958,                0.20607,                 1.8098,                 2.2302,                 2.1264,             0.00044075,             0.00044075,             0.00044075
                     65,                0.45653,                0.39361,                0.96289,                0.91165,                0.39187,                0.42939,                0.19972,                 1.8454,                 2.1898,                 2.3014,               0.000416,               0.000416,               0.000416
                     66,                  0.471,                0.41066,                0.97134,                 0.8799,                0.39241,                0.44932,                0.20872,                 2.0263,                 2.3647,                 2.5097,             0.00039125,             0.00039125,             0.00039125
                     67,                0.44716,                0.39961,                 0.9631,                0.83855,                0.40506,                0.45582,                0.20921,                 2.0225,                 2.5109,                 2.4314,              0.0003665,              0.0003665,              0.0003665
                     68,                0.43893,                 0.3853,                0.95439,                0.83419,                0.40506,                0.44664,                0.21038,                 1.9005,                 2.2416,                 2.3571,             0.00034175,             0.00034175,             0.00034175
                     69,                0.43657,                0.38572,                0.95208,                0.77817,                0.41772,                0.44614,                 0.2128,                 2.1899,                 2.1061,                 2.7976,               0.000317,               0.000317,               0.000317
                     70,                0.38141,                0.33269,                0.90338,                0.81647,                0.40506,                0.43958,                0.20762,                 1.6925,                 2.2738,                 2.0229,             0.00029225,             0.00029225,             0.00029225
                     71,                0.36388,                0.30524,                0.88233,                0.76757,                0.40506,                0.43804,                0.19728,                 1.8144,                 2.5125,                  2.183,              0.0002675,              0.0002675,              0.0002675
                     72,                0.33186,                0.28824,                0.87816,                0.86484,                0.40498,                0.45973,                 0.2156,                 1.8089,                 2.3586,                 2.2016,             0.00024275,             0.00024275,             0.00024275
                     73,                0.34954,                0.29528,                 0.8865,                0.83802,                0.40506,                0.45991,                0.21495,                 1.7861,                 2.4861,                 2.2075,               0.000218,               0.000218,               0.000218
                     74,                0.34703,                0.28811,                0.88741,                0.73979,                0.41772,                 0.4544,                0.20692,                 1.9623,                 2.4662,                 2.4898,             0.00019325,             0.00019325,             0.00019325
                     75,                0.33471,                0.28336,                0.87978,                0.88502,                0.36709,                0.44424,                0.20932,                 2.0295,                 2.4706,                 2.5197,              0.0001685,              0.0001685,              0.0001685
                     76,                0.31563,                 0.2716,                0.87064,                0.82468,                0.37975,                0.44565,                0.21558,                 2.0567,                 2.3916,                 2.6093,             0.00014375,             0.00014375,             0.00014375
                     77,                0.31482,                0.26705,                0.87128,                0.72797,                0.40652,                0.45031,                0.21217,                 2.0825,                 2.3794,                 2.7434,               0.000119,               0.000119,               0.000119
                     78,                0.31525,                 0.2654,                0.86616,                0.77907,                0.41772,                0.46123,                0.20477,                 2.0438,                 2.3546,                 2.6493,              9.425e-05,              9.425e-05,              9.425e-05
                     79,                0.31919,                 0.2834,                 0.8771,                0.78563,                0.41772,                0.45637,                 0.2057,                 2.0106,                 2.3684,                 2.5941,               6.95e-05,               6.95e-05,               6.95e-05
